user_activity,user_category_pref,product_id,product_activity,product_category,product_price,product_views,product_purchases,product_rating,same_activity,same_category,score
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4739
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.17
running,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.3973
running,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.345
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2061
running,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.4433
running,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2237
skating,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2774
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2333
skating,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.1894
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6628
cycling,Footwear,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.6063
running,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2092
cycling,Clothing,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6081
running,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.301
cycling,Accessories,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.6735
cycling,Safety,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.6136
running,Accessories,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2695
cycling,Clothing,14,skating,Clothing,11.99,120,35,3.7,0,1,0.3839
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.9043
skating,Footwear,11,skating,Safety,29.99,170,45,4.2,1,0,0.6451
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.6815
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.7115
running,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.2249
running,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2406
skating,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4212
cycling,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3294
cycling,Clothing,9,cycling,Clothing,59.99,240,65,4.4,1,1,0.8601
running,Safety,5,running,Accessories,19.99,130,35,3.9,1,0,0.6374
running,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2896
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2366
cycling,Footwear,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6255
running,Clothing,14,skating,Clothing,11.99,120,35,3.7,0,1,0.4039
cycling,Safety,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.5536
skating,Safety,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2993
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2468
running,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2809
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.4562
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.9174
skating,Accessories,3,running,Clothing,9.99,180,95,4.0,0,0,0.326
cycling,Safety,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.7174
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.179
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2516
skating,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2093
running,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2308
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.7557
skating,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1915
running,Safety,5,running,Accessories,19.99,130,35,3.9,1,0,0.6119
cycling,Footwear,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.673
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6378
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6075
skating,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3513
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.7412
running,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2181
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2721
cycling,Clothing,6,cycling,Safety,49.99,280,70,4.7,1,0,0.7395
skating,Accessories,5,running,Accessories,19.99,130,35,3.9,0,1,0.4563
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6594
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3649
cycling,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.1439
skating,Clothing,12,skating,Safety,44.99,155,40,4.5,1,0,0.6947
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,0.8757
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6151
running,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1918
running,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2228
cycling,Safety,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6459
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2696
skating,Accessories,12,skating,Safety,44.99,155,40,4.5,1,0,0.6341
cycling,Safety,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.7102
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2227
skating,Footwear,12,skating,Safety,44.99,155,40,4.5,1,0,0.6008
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2482
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6725
cycling,Clothing,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.5681
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2299
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6971
skating,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4161
cycling,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.4693
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4845
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.6983
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2209
cycling,Footwear,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6543
running,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1457
skating,Accessories,3,running,Clothing,9.99,180,95,4.0,0,0,0.261
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.3057
cycling,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2177
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.2424
cycling,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.1053
skating,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4216
skating,Footwear,12,skating,Safety,44.99,155,40,4.5,1,0,0.5469
running,Footwear,4,running,Accessories,15.99,150,40,3.8,1,0,0.6951
cycling,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3835
skating,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.4276
skating,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.4046
running,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2491
running,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.3968
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.535
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.7746
skating,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.1905
cycling,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.3182
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.9046
running,Clothing,2,running,Clothing,29.99,210,60,4.2,1,1,0.982
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.3002
skating,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2577
cycling,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2557
skating,Clothing,15,skating,Accessories,34.99,140,38,3.9,1,0,0.6432
cycling,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.238
running,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.2146
running,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2262
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4839
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1833
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.587
skating,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.1284
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6161
skating,Footwear,14,skating,Clothing,11.99,120,35,3.7,1,0,0.5506
skating,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.3578
skating,Clothing,12,skating,Safety,44.99,155,40,4.5,1,0,0.622
cycling,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.2956
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2754
cycling,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.1345
cycling,Footwear,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6125
running,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.4475
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.8044
skating,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4758
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6485
cycling,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4436
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4973
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.2253
running,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2319
cycling,Safety,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6695
skating,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.1804
skating,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.223
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.659
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6486
running,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2647
skating,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.2692
skating,Safety,12,skating,Safety,44.99,155,40,4.5,1,1,0.8193
running,Footwear,4,running,Accessories,15.99,150,40,3.8,1,0,0.5915
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.6661
cycling,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.2282
skating,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.4624
running,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.215
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.1944
cycling,Accessories,3,running,Clothing,9.99,180,95,4.0,0,0,0.2999
cycling,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.1429
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.5085
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1588
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6274
running,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.1771
skating,Footwear,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2743
cycling,Accessories,1,running,Footwear,99.99,320,85,4.5,0,0,0.2773
cycling,Clothing,6,cycling,Safety,49.99,280,70,4.7,1,0,0.7494
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1873
running,Footwear,4,running,Accessories,15.99,150,40,3.8,1,0,0.627
skating,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4502
running,Clothing,1,running,Footwear,99.99,320,85,4.5,1,0,0.7993
cycling,Accessories,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.5941
running,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.216
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6447
cycling,Clothing,7,cycling,Clothing,24.99,200,55,4.3,1,1,0.8742
skating,Accessories,5,running,Accessories,19.99,130,35,3.9,0,1,0.3917
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.6535
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3352
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2462
running,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2482
cycling,Accessories,6,cycling,Safety,49.99,280,70,4.7,1,0,0.7975
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.6641
cycling,Clothing,5,running,Accessories,19.99,130,35,3.9,0,0,0.1325
skating,Accessories,12,skating,Safety,44.99,155,40,4.5,1,0,0.6086
skating,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.3585
cycling,Safety,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1808
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,1.0
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.7759
running,Accessories,11,skating,Safety,29.99,170,45,4.2,0,0,0.1983
skating,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3155
running,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2814
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.241
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4433
cycling,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3039
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2093
running,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.168
skating,Safety,12,skating,Safety,44.99,155,40,4.5,1,1,0.7518
cycling,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.4147
running,Footwear,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2235
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.6717
skating,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.1757
skating,Clothing,4,running,Accessories,15.99,150,40,3.8,0,0,0.2295
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2417
cycling,Safety,12,skating,Safety,44.99,155,40,4.5,0,1,0.3133
skating,Accessories,6,cycling,Safety,49.99,280,70,4.7,0,0,0.3057
cycling,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4744
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,0.8725
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.4166
running,Clothing,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2505
cycling,Accessories,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6183
running,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2182
running,Safety,5,running,Accessories,19.99,130,35,3.9,1,0,0.6289
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2038
running,Footwear,3,running,Clothing,9.99,180,95,4.0,1,0,0.7599
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.554
skating,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.2215
cycling,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.3893
skating,Clothing,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2814
cycling,Footwear,11,skating,Safety,29.99,170,45,4.2,0,0,0.1808
cycling,Accessories,14,skating,Clothing,11.99,120,35,3.7,0,0,0.1632
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.3153
cycling,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.5146
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.4515
running,Footwear,1,running,Footwear,99.99,320,85,4.5,1,1,0.8374
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,0.9172
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.5477
skating,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2381
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.9165
running,Footwear,2,running,Clothing,29.99,210,60,4.2,1,0,0.6797
running,Safety,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2306
running,Footwear,15,skating,Accessories,34.99,140,38,3.9,0,0,0.185
cycling,Footwear,1,running,Footwear,99.99,320,85,4.5,0,1,0.4987
cycling,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3254
skating,Safety,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6354
skating,Safety,8,cycling,Accessories,12.99,160,45,4.0,0,0,0.2773
running,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.3867
cycling,Clothing,6,cycling,Safety,49.99,280,70,4.7,1,0,0.6204
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.5092
cycling,Safety,15,skating,Accessories,34.99,140,38,3.9,0,0,0.2259
running,Footwear,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1758
skating,Clothing,11,skating,Safety,29.99,170,45,4.2,1,0,0.5184
cycling,Safety,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.6729
skating,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.4167
running,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2532
running,Safety,4,running,Accessories,15.99,150,40,3.8,1,0,0.6549
skating,Clothing,11,skating,Safety,29.99,170,45,4.2,1,0,0.6301
skating,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2486
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.4755
skating,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4725
skating,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2669
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.3081
cycling,Clothing,1,running,Footwear,99.99,320,85,4.5,0,0,0.2586
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.4706
cycling,Accessories,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2123
skating,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.4952
running,Clothing,11,skating,Safety,29.99,170,45,4.2,0,0,0.2528
running,Accessories,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2171
skating,Footwear,13,skating,Footwear,89.99,200,55,4.3,1,1,0.8224
running,Safety,6,cycling,Safety,49.99,280,70,4.7,0,1,0.4865
running,Clothing,4,running,Accessories,15.99,150,40,3.8,1,0,0.6673
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6447
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.7993
skating,Footwear,12,skating,Safety,44.99,155,40,4.5,1,0,0.6539
skating,Accessories,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.3005
skating,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4589
running,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2625
cycling,Clothing,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.5639
running,Footwear,1,running,Footwear,99.99,320,85,4.5,1,1,0.8387
running,Clothing,1,running,Footwear,99.99,320,85,4.5,1,0,0.6767
skating,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.2615
cycling,Clothing,13,skating,Footwear,89.99,200,55,4.3,0,0,0.2117
running,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.2158
running,Accessories,1,running,Footwear,99.99,320,85,4.5,1,0,0.7185
running,Clothing,10,cycling,Clothing,39.99,190,50,4.1,0,1,0.4275
skating,Clothing,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6453
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.6632
cycling,Safety,10,cycling,Clothing,39.99,190,50,4.1,1,0,0.5322
running,Accessories,5,running,Accessories,19.99,130,35,3.9,1,1,0.754
cycling,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.5258
skating,Safety,13,skating,Footwear,89.99,200,55,4.3,1,0,0.5605
skating,Safety,11,skating,Safety,29.99,170,45,4.2,1,1,0.856
cycling,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.2895
skating,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4739
skating,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.4428
cycling,Accessories,3,running,Clothing,9.99,180,95,4.0,0,0,0.4075
running,Footwear,12,skating,Safety,44.99,155,40,4.5,0,0,0.2204
skating,Safety,14,skating,Clothing,11.99,120,35,3.7,1,0,0.5832
skating,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.3023
skating,Accessories,15,skating,Accessories,34.99,140,38,3.9,1,1,0.7854
skating,Clothing,11,skating,Safety,29.99,170,45,4.2,1,0,0.6066
skating,Footwear,15,skating,Accessories,34.99,140,38,3.9,1,0,0.609
cycling,Clothing,6,cycling,Safety,49.99,280,70,4.7,1,0,0.695
skating,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.2132
cycling,Accessories,3,running,Clothing,9.99,180,95,4.0,0,0,0.3549
skating,Footwear,14,skating,Clothing,11.99,120,35,3.7,1,0,0.6595
skating,Accessories,8,cycling,Accessories,12.99,160,45,4.0,0,1,0.477
running,Accessories,4,running,Accessories,15.99,150,40,3.8,1,1,0.7388
running,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.1593
cycling,Footwear,12,skating,Safety,44.99,155,40,4.5,0,0,0.2597
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.1852
cycling,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3218
cycling,Safety,15,skating,Accessories,34.99,140,38,3.9,0,0,0.142
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.5719
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2271
cycling,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.571
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.3922
running,Accessories,1,running,Footwear,99.99,320,85,4.5,1,0,0.5625
cycling,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2327
running,Accessories,3,running,Clothing,9.99,180,95,4.0,1,0,0.7526
cycling,Clothing,12,skating,Safety,44.99,155,40,4.5,0,0,0.1391
running,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2962
skating,Safety,12,skating,Safety,44.99,155,40,4.5,1,1,0.8122
running,Safety,11,skating,Safety,29.99,170,45,4.2,0,1,0.455
running,Safety,3,running,Clothing,9.99,180,95,4.0,1,0,0.739
running,Footwear,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2384
running,Clothing,7,cycling,Clothing,24.99,200,55,4.3,0,1,0.5133
skating,Accessories,11,skating,Safety,29.99,170,45,4.2,1,0,0.6181
cycling,Accessories,4,running,Accessories,15.99,150,40,3.8,0,1,0.4116
running,Footwear,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2068
skating,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.3108
running,Accessories,1,running,Footwear,99.99,320,85,4.5,1,0,0.6478
cycling,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.1924
skating,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.2986
running,Footwear,4,running,Accessories,15.99,150,40,3.8,1,0,0.5444
running,Accessories,2,running,Clothing,29.99,210,60,4.2,1,0,0.5793
cycling,Footwear,5,running,Accessories,19.99,130,35,3.9,0,0,0.2746
cycling,Safety,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.619
skating,Accessories,2,running,Clothing,29.99,210,60,4.2,0,0,0.2266
skating,Safety,3,running,Clothing,9.99,180,95,4.0,0,0,0.385
cycling,Safety,6,cycling,Safety,49.99,280,70,4.7,1,1,0.8567
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.7833
cycling,Safety,8,cycling,Accessories,12.99,160,45,4.0,1,0,0.6634
cycling,Clothing,14,skating,Clothing,11.99,120,35,3.7,0,1,0.3756
cycling,Footwear,3,running,Clothing,9.99,180,95,4.0,0,0,0.4409
skating,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2297
skating,Accessories,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6581
skating,Safety,13,skating,Footwear,89.99,200,55,4.3,1,0,0.636
skating,Clothing,9,cycling,Clothing,59.99,240,65,4.4,0,1,0.5271
running,Safety,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2781
skating,Safety,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.2636
skating,Safety,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.1933
running,Safety,5,running,Accessories,19.99,130,35,3.9,1,0,0.624
running,Safety,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1666
skating,Footwear,9,cycling,Clothing,59.99,240,65,4.4,0,0,0.3627
skating,Clothing,2,running,Clothing,29.99,210,60,4.2,0,1,0.4668
cycling,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.5147
running,Clothing,3,running,Clothing,9.99,180,95,4.0,1,1,0.9422
running,Safety,2,running,Clothing,29.99,210,60,4.2,1,0,0.5926
skating,Safety,4,running,Accessories,15.99,150,40,3.8,0,0,0.1644
skating,Clothing,14,skating,Clothing,11.99,120,35,3.7,1,1,0.86
skating,Accessories,6,cycling,Safety,49.99,280,70,4.7,0,0,0.2542
skating,Footwear,2,running,Clothing,29.99,210,60,4.2,0,0,0.2077
cycling,Safety,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.6888
cycling,Accessories,9,cycling,Clothing,59.99,240,65,4.4,1,0,0.7213
cycling,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.457
skating,Safety,2,running,Clothing,29.99,210,60,4.2,0,0,0.3098
cycling,Clothing,3,running,Clothing,9.99,180,95,4.0,0,1,0.4952
skating,Footwear,15,skating,Accessories,34.99,140,38,3.9,1,0,0.5294
running,Footwear,13,skating,Footwear,89.99,200,55,4.3,0,1,0.4961
cycling,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.3844
cycling,Accessories,7,cycling,Clothing,24.99,200,55,4.3,1,0,0.641
skating,Safety,10,cycling,Clothing,39.99,190,50,4.1,0,0,0.2974
skating,Safety,1,running,Footwear,99.99,320,85,4.5,0,0,0.3198
running,Accessories,7,cycling,Clothing,24.99,200,55,4.3,0,0,0.2763
running,Safety,1,running,Footwear,99.99,320,85,4.5,1,0,0.8003
cycling,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.1808
running,Footwear,12,skating,Safety,44.99,155,40,4.5,0,0,0.2594
cycling,Accessories,15,skating,Accessories,34.99,140,38,3.9,0,1,0.4034
cycling,Footwear,6,cycling,Safety,49.99,280,70,4.7,1,0,0.7004
cycling,Accessories,5,running,Accessories,19.99,130,35,3.9,0,1,0.4774
cycling,Footwear,14,skating,Clothing,11.99,120,35,3.7,0,0,0.2254
running,Clothing,5,running,Accessories,19.99,130,35,3.9,1,0,0.6279
skating,Safety,13,skating,Footwear,89.99,200,55,4.3,1,0,0.6746
cycling,Accessories,12,skating,Safety,44.99,155,40,4.5,0,0,0.1948
cycling,Footwear,4,running,Accessories,15.99,150,40,3.8,0,0,0.171
cycling,Clothing,15,skating,Accessories,34.99,140,38,3.9,0,0,0.1483
cycling,Safety,13,skating,Footwear,89.99,200,55,4.3,0,0,0.1227
skating,Accessories,14,skating,Clothing,11.99,120,35,3.7,1,0,0.7028
